GX,GY,GZ,AX,AY,AZ,IDX
x: -020.293130 , y: +055.149038 , z: -032.554321, ax: 74 , ay: -738 , az: -1938, index: 18
x: -020.273588 , y: +055.202168 , z: -032.442565, ax: 18 , ay: -796 , az: -2038, index: 18
x: -020.259542 , y: +055.320641 , z: -032.512183, ax: 234 , ay: -676 , az: -2054, index: 18
x: -020.287023 , y: +055.393924 , z: -032.581191, ax: 76 , ay: -842 , az: -2102, index: 18
x: -020.415267 , y: +055.339573 , z: -032.434626, ax: -42 , ay: -820 , az: -1932, index: 18
x: -020.594198 , y: +055.284611 , z: -032.254473, ax: 174 , ay: -564 , az: -1806, index: 18
x: -020.730992 , y: +055.232092 , z: -032.247756, ax: 382 , ay: -546 , az: -1662, index: 18
x: -020.834809 , y: +055.158809 , z: -032.399206, ax: -58 , ay: -478 , az: -1738, index: 18
x: -020.938626 , y: +055.125832 , z: -032.568977, ax: -306 , ay: -442 , az: -1748, index: 18
x: -021.075420 , y: +055.114840 , z: -032.639817, ax: -702 , ay: -196 , az: -1900, index: 18
x: -021.190198 , y: +055.071878 , z: -032.584672, ax: -388 , ay: -58 , az: -1714, index: 18
x: -021.237832 , y: +055.032794 , z: -032.629863, ax: 14 , ay: -320 , az: -1664, index: 18
x: -021.266840 , y: +055.032794 , z: -032.816092, ax: 16 , ay: -522 , az: -1712, index: 18
x: -021.284550 , y: +055.063328 , z: -033.096397, ax: 144 , ay: -442 , az: -1796, index: 18
x: -021.302870 , y: +055.099359 , z: -033.371817, ax: -112 , ay: -272 , az: -1844, index: 18
x: -021.318901 , y: +055.121160 , z: -033.524427, ax: -374 , ay: -150 , az: -1764, index: 18
x: -021.295084 , y: +055.139481 , z: -033.539084, ax: -210 , ay: -24 , az: -1852, index: 18
x: -021.245618 , y: +055.085130 , z: -033.525649, ax: -64 , ay: -262 , az: -1944, index: 18
x: -021.207145 , y: +055.071695 , z: -033.584885, ax: -54 , ay: -406 , az: -1972, index: 18
