GX,GY,GZ,AX,AY,AZ,IDX
x: -013.336397 , y: +028.186565 , z: +029.637130, ax: 1654 , ay: -582 , az: -2406, index: 19
x: -013.153191 , y: +027.978931 , z: +029.769649, ax: 1716 , ay: -8 , az: -2594, index: 19
x: -012.866779 , y: +027.695573 , z: +029.999878, ax: 2102 , ay: -412 , az: -3126, index: 19
x: -012.688458 , y: +027.332214 , z: +030.140336, ax: 2472 , ay: -970 , az: -3712, index: 19
x: -012.512580 , y: +026.595725 , z: +030.278351, ax: 1712 , ay: 50 , az: -3224, index: 19
x: -012.252092 , y: +025.468489 , z: +030.657191, ax: 1244 , ay: 64 , az: -3214, index: 19
x: -011.869802 , y: +023.960092 , z: +030.976580, ax: 900 , ay: -590 , az: -3248, index: 19
x: -011.455756 , y: +022.452305 , z: +030.930779, ax: -162 , ay: -1096 , az: -3588, index: 19
x: -011.119267 , y: +020.734443 , z: +030.879481, ax: -2650 , ay: -1180 , az: -3748, index: 19
x: -010.844183 , y: +018.833221 , z: +031.372580, ax: -6324 , ay: -832 , az: -4096, index: 19
x: -010.708000 , y: +017.561160 , z: +032.208000, ax: -7134 , ay: -974 , az: -5200, index: 19
x: -010.562656 , y: +017.030473 , z: +032.910901, ax: -7504 , ay: -980 , az: -4942, index: 19
x: -010.366015 , y: +017.347420 , z: +033.215023, ax: -8338 , ay: -1244 , az: -4654, index: 19
x: -010.008855 , y: +018.746565 , z: +033.130382, ax: -8268 , ay: -932 , az: -3726, index: 19
x: -009.465954 , y: +020.805191 , z: +032.935573, ax: -7324 , ay: -1450 , az: -2604, index: 19
x: -009.160092 , y: +023.707359 , z: +032.845160, ax: -2626 , ay: -2442 , az: -14, index: 19
x: -008.890321 , y: +026.416672 , z: +032.350290, ax: 6964 , ay: -3538 , az: 4452, index: 19
x: -008.660092 , y: +027.824305 , z: +031.286473, ax: 13084 , ay: -4374 , az: 5690, index: 19
x: -008.416427 , y: +027.630718 , z: +029.916702, ax: 11810 , ay: -2792 , az: 4830, index: 19
x: -007.902229 , y: +026.416672 , z: +028.783267, ax: 6110 , ay: -1648 , az: 3228, index: 19
x: -007.453985 , y: +024.912550 , z: +028.204336, ax: 1138 , ay: -1758 , az: -614, index: 19
x: -007.339786 , y: +023.718046 , z: +028.131664, ax: -792 , ay: -1700 , az: -1994, index: 19
x: -007.308641 , y: +022.775145 , z: +028.317924, ax: -950 , ay: -1720 , az: -2228, index: 19
x: -007.295206 , y: +021.838962 , z: +028.579908, ax: -1526 , ay: -1656 , az: -2298, index: 19
x: -007.247573 , y: +021.014534 , z: +028.782656, ax: -2374 , ay: -1720 , az: -2528, index: 19
x: -007.159084 , y: +020.328427 , z: +028.977588, ax: -3132 , ay: -1722 , az: -3148, index: 19
x: -007.149313 , y: +019.929649 , z: +029.074076, ax: -3008 , ay: -1864 , az: -3924, index: 19
x: -007.253740 , y: +019.756824 , z: +029.102779, ax: -3260 , ay: -1660 , az: -3862, index: 19
x: -007.485221 , y: +019.787603 , z: +029.220763, ax: -3208 , ay: -1304 , az: -3990, index: 19
x: -007.727053 , y: +020.045313 , z: +029.289771, ax: -2518 , ay: -1020 , az: -3720, index: 19
x: -007.908427 , y: +020.510046 , z: +029.225649, ax: -2076 , ay: -872 , az: -3764, index: 19
x: -008.063542 , y: +021.056611 , z: +029.127939, ax: -1768 , ay: -900 , az: -3670, index: 19
x: -008.254687 , y: +021.604397 , z: +029.021069, ax: -1068 , ay: -1038 , az: -3804, index: 19
x: -008.534260 , y: +022.080824 , z: +028.975542, ax: -704 , ay: -1226 , az: -4096, index: 19
x: -008.860977 , y: +022.488153 , z: +028.987145, ax: -924 , ay: -994 , az: -3710, index: 19
x: -009.160336 , y: +022.934290 , z: +029.010351, ax: -556 , ay: -850 , az: -3610, index: 19
x: -009.419878 , y: +023.389252 , z: +028.970046, ax: -36 , ay: -694 , az: -3360, index: 19
x: -009.616519 , y: +023.822229 , z: +028.873557, ax: 0 , ay: -782 , az: -3428, index: 19
x: -009.763878 , y: +024.258504 , z: +028.710534, ax: 52 , ay: -700 , az: -3064, index: 19
x: -009.918779 , y: +024.690718 , z: +028.577099, ax: 344 , ay: -890 , az: -3080, index: 19
x: -010.062901 , y: +024.887969 , z: +028.558779, ax: 562 , ay: -688 , az: -2632, index: 19
x: -010.105252 , y: +024.950046 , z: +028.653924, ax: 150 , ay: -624 , az: -2622, index: 19
x: -010.105252 , y: +025.014779 , z: +028.741863, ax: 118 , ay: -908 , az: -2750, index: 19
x: -010.074718 , y: +025.083786 , z: +028.734534, ax: 66 , ay: -1120 , az: -2746, index: 19
x: -010.074718 , y: +025.125313 , z: +028.700336, ax: -146 , ay: -1214 , az: -2750, index: 19
x: -010.069832 , y: +025.194931 , z: +028.740031, ax: -684 , ay: -1068 , az: -2594, index: 19
x: -010.118076 , y: +025.271267 , z: +028.838962, ax: -484 , ay: -1184 , az: -2592, index: 19
x: -010.168733 , y: +025.311664 , z: +028.951817, ax: -376 , ay: -1118 , az: -2492, index: 19
x: -010.187053 , y: +025.370290 , z: +028.992733, ax: -282 , ay: -1100 , az: -2376, index: 19
x: -010.195603 , y: +025.455176 , z: +028.946931, ax: -236 , ay: -1096 , az: -2292, index: 19
x: -010.255237 , y: +025.525710 , z: +028.940519, ax: -314 , ay: -1018 , az: -2482, index: 19
x: -010.310198 , y: +025.572733 , z: +028.976550, ax: -364 , ay: -950 , az: -2300, index: 19
x: -010.345618 , y: +025.646626 , z: +029.076092, ax: -386 , ay: -1010 , az: -2310, index: 19
x: -010.393252 , y: +025.691206 , z: +029.173802, ax: -194 , ay: -1040 , az: -2372, index: 19
