GX,GY,GZ,AX,AY,AZ,IDX
x: -041.780672 , y: -003.814290 , z: +003.095420, ax: 3488 , ay: 854 , az: -2068, index: 17
x: -041.372733 , y: -005.712916 , z: +003.303053, ax: 1226 , ay: 1098 , az: -2630, index: 17
x: -040.806504 , y: -007.401160 , z: +003.690015, ax: -448 , ay: 534 , az: -3188, index: 17
x: -040.270321 , y: -009.073832 , z: +004.116885, ax: -1680 , ay: -540 , az: -4130, index: 17
x: -039.922229 , y: -010.604214 , z: +004.438107, ax: -2760 , ay: -1268 , az: -4540, index: 17
x: -039.811298 , y: -012.084794 , z: +004.881191, ax: -4998 , ay: -1384 , az: -5622, index: 17
x: -039.968244 , y: -013.133954 , z: +005.438137, ax: -6926 , ay: -1348 , az: -5640, index: 17
x: -040.342076 , y: -013.708489 , z: +006.209527, ax: -7494 , ay: -1470 , az: -6020, index: 17
x: -040.909405 , y: -013.756733 , z: +007.122504, ax: -8558 , ay: -1870 , az: -6280, index: 17
x: -041.738504 , y: -013.012275 , z: +008.269649, ax: -9490 , ay: -1490 , az: -5818, index: 17
x: -042.531176 , y: -011.561282 , z: +009.456214, ax: -8472 , ay: -1138 , az: -4194, index: 17
x: -043.186504 , y: -009.481802 , z: +010.529618, ax: -7852 , ay: -1042 , az: -434, index: 17
x: -043.491847 , y: -006.043023 , z: +010.690840, ax: -1502 , ay: -1188 , az: 5106, index: 17
x: -043.640611 , y: -001.446107 , z: +009.849557, ax: 8050 , ay: -3706 , az: 6988, index: 17
x: -044.615847 , y: +000.965008 , z: +009.326260, ax: 14802 , ay: -2446 , az: 10166, index: 17
x: -045.252183 , y: +000.569282 , z: +009.239542, ax: 15046 , ay: -292 , az: 12082, index: 17
x: -044.850962 , y: -001.818504 , z: +009.072214, ax: 8322 , ay: 1156 , az: 7414, index: 17
x: -043.787756 , y: -004.134229 , z: +007.932061, ax: 530 , ay: 244 , az: 3142, index: 17
x: -042.847908 , y: -005.170382 , z: +006.534473, ax: -4546 , ay: -272 , az: -1792, index: 17
x: -042.380122 , y: -005.440305 , z: +006.058137, ax: -4610 , ay: 44 , az: -1744, index: 17
x: -041.925282 , y: -005.638718 , z: +006.270473, ax: -2438 , ay: -200 , az: -1118, index: 17
x: -041.479481 , y: -006.194443 , z: +006.583145, ax: -1626 , ay: -506 , az: -1386, index: 17
x: -040.976122 , y: -006.751023 , z: +006.650473, ax: -2654 , ay: -536 , az: -2310, index: 17
x: -040.655298 , y: -006.915206 , z: +006.605802, ax: -2798 , ay: -1446 , az: -2908, index: 17
x: -040.447542 , y: -006.659359 , z: +006.417924, ax: -1934 , ay: -1558 , az: -2860, index: 17
x: -040.344336 , y: -006.335695 , z: +006.295786, ax: -2134 , ay: -902 , az: -2912, index: 17
x: -040.305252 , y: -006.012641 , z: +006.334260, ax: -2338 , ay: -682 , az: -2962, index: 17
x: -040.265557 , y: -005.268824 , z: +006.099145, ax: -1040 , ay: -958 , az: -3038, index: 17
x: -040.347389 , y: -004.396153 , z: +005.445710, ax: 316 , ay: -1512 , az: -3506, index: 17
x: -040.544031 , y: -003.773252 , z: +004.791664, ax: 502 , ay: -690 , az: -2862, index: 17
x: -040.581893 , y: -003.172336 , z: +004.380061, ax: -374 , ay: 138 , az: -2716, index: 17
x: -040.516916 , y: -002.460489 , z: +004.144519, ax: 460 , ay: -530 , az: -3316, index: 17
x: -040.637221 , y: -001.893771 , z: +004.010779, ax: 1108 , ay: -754 , az: -3310, index: 17
x: -040.775878 , y: -001.538137 , z: +003.879664, ax: 1462 , ay: -22 , az: -2422, index: 17
x: -040.965191 , y: -001.402565 , z: +003.664092, ax: 1878 , ay: -716 , az: -2612, index: 17
x: -041.250992 , y: -001.260885 , z: +003.094931, ax: 1266 , ay: -1016 , az: -3582, index: 17
x: -041.518473 , y: -001.080733 , z: +002.691267, ax: 1282 , ay: 374 , az: -2314, index: 17
x: -041.670473 , y: -001.217069 , z: +002.825863, ax: 1920 , ay: 686 , az: -2168, index: 17
x: -041.672916 , y: -001.614626 , z: +003.217924, ax: 2972 , ay: 1040 , az: -1700, index: 17
x: -041.426809 , y: -002.186229 , z: +003.283267, ax: 4276 , ay: 888 , az: -1624, index: 17
x: -040.991115 , y: -002.964214 , z: +003.029160, ax: 4152 , ay: 478 , az: -1950, index: 17
x: -040.420733 , y: -003.990168 , z: +002.977252, ax: 2118 , ay: 428 , az: -2670, index: 17
x: -039.979817 , y: -004.814565 , z: +003.133893, ax: 1532 , ay: 444 , az: -3002, index: 17
x: -039.832641 , y: -005.806321 , z: +003.685954, ax: 1104 , ay: -224 , az: -3514, index: 17
x: -039.839023 , y: -007.073954 , z: +004.267267, ax: 504 , ay: -188 , az: -3174, index: 17
x: -039.895817 , y: -008.711206 , z: +004.841313, ax: -390 , ay: -554 , az: -3636, index: 17
x: -040.059481 , y: -010.533496 , z: +005.290168, ax: -1752 , ay: -944 , az: -4486, index: 17
x: -040.417344 , y: -012.578687 , z: +005.778718, ax: -4588 , ay: -1078 , az: -5486, index: 17
x: -040.969435 , y: -014.550443 , z: +006.594992, ax: -8254 , ay: -600 , az: -6420, index: 17
x: -041.630198 , y: -015.420672 , z: +007.674076, ax: -9626 , ay: -506 , az: -6752, index: 17
x: -042.283634 , y: -015.062809 , z: +008.586443, ax: -9112 , ay: -836 , az: -5656, index: 17
x: -042.844061 , y: -013.739328 , z: +009.166107, ax: -9108 , ay: -952 , az: -4494, index: 17
x: -043.257496 , y: -011.902992 , z: +009.641832, ax: -8758 , ay: -1096 , az: -3000, index: 17
x: -043.560397 , y: -009.444366 , z: +009.983206, ax: -6554 , ay: -1706 , az: 382, index: 17
x: -043.682534 , y: -005.771084 , z: +009.653435, ax: -948 , ay: -1970 , az: 4852, index: 17
x: -043.999481 , y: -001.895664 , z: +008.958473, ax: 6792 , ay: -2790 , az: 8064, index: 17
x: -044.613221 , y: -000.160702 , z: +009.060458, ax: 14450 , ay: -1810 , az: 11116, index: 17
x: -044.604061 , y: -001.204366 , z: +009.279695, ax: 14360 , ay: -372 , az: 10356, index: 17
x: -043.906656 , y: -003.394290 , z: +008.872977, ax: 7016 , ay: 6 , az: 6712, index: 17
x: -042.851359 , y: -005.021038 , z: +007.623328, ax: 376 , ay: -470 , az: 2256, index: 17
x: -042.137771 , y: -005.663847 , z: +006.304061, ax: -2654 , ay: -296 , az: -1158, index: 17
x: -041.546565 , y: -005.776702 , z: +005.385832, ax: -1360 , ay: -172 , az: -1020, index: 17
x: -041.087664 , y: -006.253588 , z: +005.057466, ax: -666 , ay: -302 , az: -1584, index: 17
x: -040.699878 , y: -007.186718 , z: +005.185099, ax: -1772 , ay: -54 , az: -2250, index: 17
x: -040.241863 , y: -007.932366 , z: +005.258992, ax: -2026 , ay: -402 , az: -2914, index: 17
x: -039.822931 , y: -008.251145 , z: +004.969527, ax: -2120 , ay: -936 , az: -3900, index: 17
x: -039.514534 , y: -008.196183 , z: +004.448611, ax: -2056 , ay: -894 , az: -4042, index: 17
x: -039.369191 , y: -008.097863 , z: +004.209832, ax: -2580 , ay: -622 , az: -4412, index: 17
x: -039.307511 , y: -007.852366 , z: +004.245863, ax: -1964 , ay: -534 , az: -4258, index: 17
x: -039.264153 , y: -007.592824 , z: +004.303267, ax: -1350 , ay: -776 , az: -3902, index: 17
x: -039.196977 , y: -007.113435 , z: +004.268458, ax: -1462 , ay: -480 , az: -4136, index: 17
x: -039.121863 , y: -006.674962 , z: +004.251969, ax: -1020 , ay: -542 , az: -4010, index: 17
x: -039.055908 , y: -006.147328 , z: +004.153038, ax: -712 , ay: -432 , az: -3298, index: 17
x: -038.903237 , y: -005.406565 , z: +003.859908, ax: -486 , ay: -512 , az: -3346, index: 17
x: -038.887969 , y: -004.472824 , z: +003.514870, ax: -1064 , ay: -674 , az: -3952, index: 17
x: -039.145069 , y: -003.727786 , z: +003.453802, ax: -780 , ay: 0 , az: -3284, index: 17
x: -039.348122 , y: -003.195206 , z: +003.529802, ax: 676 , ay: 368 , az: -2162, index: 17
x: -039.451969 , y: -002.860458 , z: +003.504855, ax: 2426 , ay: 424 , az: -1712, index: 17
x: -039.522198 , y: -002.816489 , z: +003.402870, ax: 3022 , ay: 252 , az: -1544, index: 17
x: -039.513496 , y: -003.020122 , z: +003.526443, ax: 3014 , ay: 772 , az: -1452, index: 17
x: -039.386473 , y: -003.473863 , z: +003.846443, ax: 3998 , ay: 930 , az: -1724, index: 17
x: -039.012275 , y: -003.961191 , z: +003.993802, ax: 4122 , ay: 902 , az: -1864, index: 17
x: -038.460824 , y: -004.284244 , z: +004.044489, ax: 4168 , ay: 240 , az: -1908, index: 17
x: -037.894595 , y: -004.892824 , z: +004.170962, ax: 2834 , ay: 286 , az: -2364, index: 18
x: -037.480550 , y: -006.256489 , z: +004.466534, ax: 2812 , ay: -446 , az: -2952, index: 18
x: -037.277802 , y: -008.399389 , z: +004.997221, ax: 1056 , ay: -592 , az: -3898, index: 18
x: -037.165252 , y: -010.587725 , z: +005.620305, ax: -886 , ay: -202 , az: -4174, index: 18
x: -036.950443 , y: -012.896763 , z: +006.269863, ax: -2846 , ay: -652 , az: -5318, index: 18
x: -036.842351 , y: -015.242412 , z: +006.988641, ax: -6478 , ay: -1600 , az: -7138, index: 18
x: -037.173344 , y: -016.881496 , z: +007.709863, ax: -9360 , ay: -2230 , az: -8304, index: 18
x: -037.802382 , y: -016.890473 , z: +007.738718, ax: -8910 , ay: -1922 , az: -7112, index: 18
x: -038.353191 , y: -015.665099 , z: +006.703786, ax: -8734 , ay: -1400 , az: -5342, index: 17
x: -038.602351 , y: -013.414718 , z: +005.259511, ax: -9800 , ay: -1296 , az: -4688, index: 17
x: -039.092885 , y: -010.710046 , z: +004.524031, ax: -9376 , ay: -2404 , az: -3478, index: 17
x: -040.118229 , y: -007.809282 , z: +003.917008, ax: -4466 , ay: -2360 , az: 664, index: 17
x: -041.194260 , y: -003.969893 , z: +003.358229, ax: 1032 , ay: -956 , az: 6608, index: 17
x: -042.368000 , y: -000.428519 , z: +003.482198, ax: 9550 , ay: 456 , az: 9568, index: 17
x: -043.315969 , y: +000.465496 , z: +003.718321, ax: 16276 , ay: 996 , az: 12692, index: 17
x: -043.299725 , y: -000.584000 , z: +003.045924, ax: 11892 , ay: 2312 , az: 9610, index: 17
x: -042.417282 , y: -002.362931 , z: +001.917374, ax: 4278 , ay: 1704 , az: 5140, index: 17


x: -038.931328 , y: +001.598076 , z: +005.810046, ax: 4112 , ay: 798 , az: -1312, index: 17
x: -039.034534 , y: +000.661282 , z: +006.169740, ax: 4668 , ay: 1130 , az: -1206, index: 17
x: -038.808855 , y: -000.461893 , z: +006.378595, ax: 4132 , ay: 1092 , az: -1476, index: 17
x: -038.283053 , y: -001.760824 , z: +006.646687, ax: 2762 , ay: 922 , az: -2286, index: 17
x: -037.513771 , y: -002.817863 , z: +007.213496, ax: -2098 , ay: 1964 , az: -4244, index: 18
x: -037.006290 , y: -004.441069 , z: +008.045863, ax: 982 , ay: -1160 , az: -4006, index: 18
x: -036.842626 , y: -006.388550 , z: +008.583878, ax: 674 , ay: -1724 , az: -4448, index: 18
x: -036.872550 , y: -008.384275 , z: +008.939908, ax: -1858 , ay: -1304 , az: -4848, index: 18
x: -036.985527 , y: -010.493588 , z: +009.538992, ax: -3538 , ay: -842 , az: -4800, index: 18
x: -037.314473 , y: -012.953954 , z: +010.348214, ax: -4792 , ay: -2018 , az: -5718, index: 18
x: -038.015542 , y: -014.774412 , z: +010.786687, ax: -6352 , ay: -2476 , az: -6668, index: 17
x: -039.095359 , y: -015.583634 , z: +011.023939, ax: -8014 , ay: -1590 , az: -6402, index: 17
x: -040.387420 , y: -015.616977 , z: +011.309282, ax: -8728 , ay: -1342 , az: -5864, index: 17
x: -041.768611 , y: -014.800061 , z: +011.720947, ax: -9538 , ay: -1114 , az: -5258, index: 17
x: -043.253679 , y: -013.011053 , z: +012.226870, ax: -10080 , ay: -1376 , az: -3970, index: 17
x: -044.763756 , y: -010.482076 , z: +012.481435, ax: -8548 , ay: -1574 , az: -1644, index: 17
x: -045.984000 , y: -006.471878 , z: +011.944092, ax: -5920 , ay: -1158 , az: 2620, index: 17
x: -046.953771 , y: -000.593405 , z: +010.968824, ax: 2802 , ay: -1248 , az: 8418, index: 17
x: -048.021863 , y: +003.782168 , z: +010.596916, ax: 17776 , ay: -1650 , az: 12780, index: 17
x: -048.471939 , y: +003.588580 , z: +009.873863, ax: 24474 , ay: -662 , az: 13274, index: 17
x: -047.926595 , y: +000.750107 , z: +008.796000, ax: 9956 , ay: 324 , az: 8030, index: 17
x: -047.074931 , y: -001.741649 , z: +007.676305, ax: -204 , ay: 894 , az: 2646, index: 17
x: -046.502901 , y: -003.382321 , z: +007.196519, ax: -6566 , ay: 1848 , az: -1514, index: 17
x: -045.944733 , y: -004.030870 , z: +007.107359, ax: -3194 , ay: 1304 , az: -1540, index: 17
x: -044.954046 , y: -004.239267 , z: +006.625160, ax: -544 , ay: -116 , az: -1966, index: 17
x: -044.086137 , y: -004.564153 , z: +005.940000, ax: -1950 , ay: -1268 , az: -3220, index: 17
x: -043.625740 , y: -004.846931 , z: +005.682870, ax: -3586 , ay: -1196 , az: -3736, index: 17
x: -043.557954 , y: -005.000824 , z: +005.904550, ax: -2852 , ay: -242 , az: -3006, index: 17
x: -043.532305 , y: -005.226168 , z: +006.237374, ax: -2066 , ay: 364 , az: -2720, index: 17
x: -043.319176 , y: -005.323267 , z: +006.344855, ax: -2018 , ay: 392 , az: -2934, index: 17
x: -043.035206 , y: -005.136397 , z: +006.187298, ax: -2344 , ay: 240 , az: -3550, index: 17
x: -042.711481 , y: -004.662992 , z: +005.911725, ax: -2610 , ay: 624 , az: -3686, index: 17
x: -042.385374 , y: -003.990015 , z: +005.790198, ax: -2518 , ay: 726 , az: -4212, index: 17
x: -042.168580 , y: -003.437344 , z: +005.868977, ax: -1988 , ay: 348 , az: -4408, index: 17
x: -041.996366 , y: -002.664214 , z: +006.017985, ax: -2176 , ay: 558 , az: -3870, index: 17
