GX,GY,GZ,AX,AY,AZ,IDX
x: +148.883908 , y: +140.619237 , z: +047.020214, ax: 184 , ay: -568 , az: -1766, index: 28
x: +149.025588 , y: +140.009771 , z: +047.849527, ax: 1168 , ay: -868 , az: -1890, index: 28
x: +149.233832 , y: +139.426565 , z: +048.506626, ax: 1676 , ay: -782 , az: -1952, index: 28
x: +149.596580 , y: +138.945344 , z: +048.910901, ax: 1674 , ay: -806 , az: -2240, index: 28
x: +150.062107 , y: +138.493924 , z: +049.176366, ax: 1342 , ay: -838 , az: -2144, index: 28
x: +150.653863 , y: +137.679878 , z: +049.387664, ax: 1470 , ay: -1106 , az: -2390, index: 28
x: +151.207145 , y: +136.466443 , z: +049.756519, ax: 420 , ay: -1364 , az: -2844, index: 28
x: +151.714351 , y: +135.057679 , z: +050.341313, ax: -360 , ay: -1692 , az: -3262, index: 28
x: +152.056947 , y: +133.671420 , z: +051.015511, ax: -752 , ay: -2194 , az: -3696, index: 28
x: +152.188397 , y: +132.128000 , z: +051.759328, ax: -1386 , ay: -2260 , az: -3868, index: 28
x: +152.060794 , y: +130.440947 , z: +052.571756, ax: -1840 , ay: -2026 , az: -3838, index: 28
x: +151.722870 , y: +128.731450 , z: +053.294412, ax: -2400 , ay: -1728 , az: -3764, index: 28
x: +151.310046 , y: +127.215115 , z: +053.880672, ax: -4044 , ay: -1352 , az: -4012, index: 28
x: +150.882992 , y: +126.160305 , z: +054.369282, ax: -6478 , ay: -930 , az: -4222, index: 28
x: +150.505954 , y: +126.048733 , z: +054.894443, ax: -8082 , ay: -806 , az: -4330, index: 28
x: +150.295267 , y: +127.045985 , z: +055.242534, ax: -8130 , ay: -816 , az: -3618, index: 28
x: +150.565221 , y: +129.113282 , z: +055.001435, ax: -6882 , ay: -728 , az: -2022, index: 28
x: +151.061527 , y: +132.312336 , z: +053.461221, ax: -3096 , ay: -1440 , az: -660, index: 28
x: +151.547023 , y: +135.937985 , z: +051.083817, ax: 2074 , ay: -2194 , az: 1958, index: 28
x: +151.683817 , y: +139.128824 , z: +049.020916, ax: 7118 , ay: -2122 , az: 3962, index: 28
x: +151.316397 , y: +140.380489 , z: +048.111664, ax: 11028 , ay: -1582 , az: 5434, index: 28
x: +151.043420 , y: +139.507817 , z: +048.075023, ax: 9156 , ay: 286 , az: 5516, index: 28
x: +151.387847 , y: +137.770412 , z: +048.122046, ax: 5006 , ay: 548 , az: 3348, index: 28
x: +152.131664 , y: +136.027511 , z: +047.747084, ax: 550 , ay: -648 , az: 346, index: 28
x: +152.786656 , y: +134.908977 , z: +047.135603, ax: -2028 , ay: -1568 , az: -1358, index: 28
x: +153.186779 , y: +134.245313 , z: +046.557221, ax: -2396 , ay: -2112 , az: -1926, index: 28
x: +153.345160 , y: +133.733618 , z: +046.295603, ax: -2324 , ay: -1766 , az: -1546, index: 28
x: +153.447115 , y: +133.440580 , z: +046.176977, ax: -2092 , ay: -1616 , az: -1882, index: 28
x: +153.431084 , y: +133.304000 , z: +045.905740, ax: -1176 , ay: -1648 , az: -2168, index: 28
x: +153.352214 , y: +133.218718 , z: +045.311328, ax: -858 , ay: -1376 , az: -1952, index: 28
x: +153.286870 , y: +133.300550 , z: +044.661557, ax: -1526 , ay: -1046 , az: -2224, index: 28
x: +153.153496 , y: +133.367237 , z: +044.321710, ax: -1916 , ay: -770 , az: -2506, index: 28
x: +153.031023 , y: +133.315939 , z: +044.265924, ax: -1188 , ay: -598 , az: -2310, index: 28
x: +152.848427 , y: +133.463725 , z: +044.104092, ax: -616 , ay: -774 , az: -2616, index: 28
x: +152.610260 , y: +133.653649 , z: +043.947145, ax: -538 , ay: -486 , az: -2352, index: 28
x: +152.461496 , y: +133.806901 , z: +044.044611, ax: -558 , ay: -196 , az: -2310, index: 28
x: +152.379664 , y: +134.025527 , z: +044.272397, ax: -498 , ay: -354 , az: -2342, index: 28
x: +152.301496 , y: +134.300336 , z: +044.538046, ax: -142 , ay: -556 , az: -2560, index: 28
x: +152.146962 , y: +134.644031 , z: +044.737466, ax: 226 , ay: -832 , az: -2396, index: 28
x: +152.038870 , y: +135.113038 , z: +044.707542, ax: 454 , ay: -1040 , az: -2120, index: 28
x: +152.038870 , y: +135.626015 , z: +044.609221, ax: -24 , ay: -1002 , az: -2150, index: 28
x: +152.081618 , y: +136.053496 , z: +044.651359, ax: -346 , ay: -1024 , az: -2388, index: 28
x: +151.975176 , y: +136.381160 , z: +044.806534, ax: -352 , ay: -1158 , az: -2634, index: 28
x: +151.711969 , y: +136.677954 , z: +044.967145, ax: -196 , ay: -1012 , az: -2496, index: 28
x: +151.425985 , y: +137.047298 , z: +045.069099, ax: 196 , ay: -878 , az: -2298, index: 28
x: +151.157893 , y: +137.152336 , z: +045.233985, ax: 268 , ay: -818 , az: -2156, index: 28
x: +150.905679 , y: +137.055847 , z: +045.525893, ax: -208 , ay: -526 , az: -2170, index: 28
x: +150.687053 , y: +137.008824 , z: +045.790321, ax: -184 , ay: -692 , az: -2348, index: 28
x: +150.450443 , y: +137.083847 , z: +045.836489, ax: 54 , ay: -870 , az: -2192, index: 28
x: +150.303267 , y: +137.194992 , z: +045.680763, ax: -50 , ay: -890 , az: -2042, index: 28
x: +150.189679 , y: +137.268275 , z: +045.542748, ax: -410 , ay: -724 , az: -2006, index: 28
x: +150.089527 , y: +137.334229 , z: +045.481679, ax: -528 , ay: -758 , az: -1950, index: 28
x: +150.005252 , y: +137.422779 , z: +045.465191, ax: -452 , ay: -880 , az: -2038, index: 28
x: +149.877618 , y: +137.565679 , z: +045.447481, ax: -246 , ay: -800 , az: -1988, index: 28
x: +149.780153 , y: +137.731115 , z: +045.409008, ax: 128 , ay: -538 , az: -1714, index: 28
x: +149.749008 , y: +137.840427 , z: +045.355878, ax: 210 , ay: -536 , az: -1910, index: 28
x: +149.698321 , y: +137.970504 , z: +045.251450, ax: 146 , ay: -598 , az: -1888, index: 28
x: +149.666565 , y: +138.121344 , z: +045.130534, ax: 282 , ay: -518 , az: -1620, index: 28
x: +149.650076 , y: +138.176305 , z: +045.068855, ax: 388 , ay: -450 , az: -1446, index: 28
x: +149.652519 , y: +138.153710 , z: +045.071298, ax: 138 , ay: -424 , az: -1654, index: 28
x: +149.684885 , y: +138.134168 , z: +045.109771, ax: 44 , ay: -460 , az: -1626, index: 28
x: +149.739237 , y: +138.118901 , z: +045.121374, ax: 24 , ay: -634 , az: -1602, index: 28
x: +149.758168 , y: +138.082870 , z: +045.096336, ax: -54 , ay: -826 , az: -1780, index: 28
x: +149.739237 , y: +138.082870 , z: +045.096336, ax: -382 , ay: -636 , az: -1670, index: 28
x: +149.703817 , y: +138.165313 , z: +045.120763, ax: -70 , ay: -784 , az: -1396, index: 28
x: +149.672672 , y: +138.234321 , z: +045.134809, ax: 266 , ay: -754 , az: -1376, index: 28
x: +149.633588 , y: +138.242870 , z: +045.146412, ax: 14 , ay: -802 , az: -1376, index: 28
x: +149.595725 , y: +138.228214 , z: +045.175115, ax: -100 , ay: -700 , az: -1346, index: 28
x: +149.562137 , y: +138.228214 , z: +045.209924, ax: -108 , ay: -688 , az: -1456, index: 28
x: +149.514046 , y: +138.235267 , z: +045.229160, ax: -180 , ay: -674 , az: -1522, index: 28
x: +149.492061 , y: +138.264580 , z: +045.204122, ax: -92 , ay: -582 , az: -1444, index: 28
x: +149.476794 , y: +138.264580 , z: +045.160763, ax: -156 , ay: -666 , az: -1638, index: 28
x: +149.452977 , y: +138.274962 , z: +045.165038, ax: -370 , ay: -642 , az: -1644, index: 28
x: +149.416427 , y: +138.312153 , z: +045.222107, ax: -314 , ay: -662 , az: -1606, index: 28
x: +149.370015 , y: +138.333527 , z: +045.295389, ax: -52 , ay: -676 , az: -1528, index: 28
x: +149.346198 , y: +138.309099 , z: +045.292947, ax: 2 , ay: -704 , az: -1616, index: 28
x: +149.341557 , y: +138.303878 , z: +045.209985, ax: -80 , ay: -634 , az: -1626, index: 28
x: +149.331786 , y: +138.341740 , z: +045.111664, ax: -214 , ay: -766 , az: -1712, index: 28
x: +149.281771 , y: +138.341740 , z: +045.111664, ax: -226 , ay: -728 , az: -1734, index: 28
x: +149.218870 , y: +138.333191 , z: +045.136092, ax: -116 , ay: -722 , az: -1594, index: 28
x: +149.178565 , y: +138.328305 , z: +045.142809, ax: 14 , ay: -602 , az: -1598, index: 28
x: +149.170015 , y: +138.353954 , z: +045.103115, ax: -84 , ay: -666 , az: -1656, index: 28
x: +149.159023 , y: +138.389985 , z: +045.049985, ax: -138 , ay: -690 , az: -1622, index: 28
x: +149.144275 , y: +138.411786 , z: +045.049985, ax: -124 , ay: -630 , az: -1696, index: 28
x: +149.127176 , y: +138.398962 , z: +045.093344, ax: -126 , ay: -552 , az: -1562, index: 28
x: +149.136336 , y: +138.386748 , z: +045.130595, ax: -98 , ay: -564 , az: -1494, index: 28
x: +149.180305 , y: +138.423389 , z: +045.092733, ax: 8 , ay: -626 , az: -1564, index: 28
x: +149.203511 , y: +138.448427 , z: +045.020672, ax: -20 , ay: -674 , az: -1536, index: 28
x: +149.224885 , y: +138.441710 , z: +044.954107, ax: -106 , ay: -602 , az: -1500, index: 28
x: +149.237710 , y: +138.433771 , z: +044.873496, ax: -118 , ay: -702 , az: -1596, index: 28
x: +149.254809 , y: +138.485679 , z: +044.767237, ax: -442 , ay: -654 , az: -1638, index: 28
x: +149.174015 , y: +138.558137 , z: +044.751847, ax: -302 , ay: -630 , az: -1794, index: 28
x: +149.070198 , y: +138.577069 , z: +044.789710, ax: -32 , ay: -502 , az: -1376, index: 28
x: +149.006076 , y: +138.577069 , z: +044.806809, ax: 54 , ay: -524 , az: -1470, index: 28
x: +148.957832 , y: +138.572183 , z: +044.779939, ax: 56 , ay: -554 , az: -1426, index: 28
x: +148.895542 , y: +138.552641 , z: +044.755511, ax: -118 , ay: -530 , az: -1460, index: 28
